construct,genotype,mouse_id,sex,session_nr,block_nr,block_Id,trial_nr,trialtype,validity,CRonset,CRamp,CRpeaktime,FEC_amp,FEC_time,AmpAtTimeX,startle,CR
C57Bl/6J,wt,146,female,3,5,75092,12,tone10,invalid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,4,5,75258,12,tone10,valid,NaN,0.220329382717342,795,0.220329382717342,795,0.179173706195011,1,1
C57Bl/6J,wt,146,female,5,5,75414,12,tone10,valid,NaN,0.228801299448245,861,0.228801299448245,861,0.196601487481951,1,1
C57Bl/6J,wt,146,female,6,5,75574,12,tone10,valid,NaN,0.195608225163569,873,0.195608225163569,873,0.165601183994156,1,1
C57Bl/6J,wt,146,female,7,5,75734,12,tone10,invalid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,8,5,75894,12,tone10,valid,NaN,0.789111951727082,777,0.789111951727082,777,0.678762453308637,1,1
C57Bl/6J,wt,146,female,9,5,76054,12,tone10,valid,NaN,0.419749062957964,798,0.419749062957964,798,0.379075080962621,1,1
C57Bl/6J,wt,146,female,10,5,76215,12,tone10,valid,NaN,0.38448532304652,861,0.38448532304652,861,0.253493286518502,1,1
C57Bl/6J,wt,146,female,1,6,74775,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,2,6,74935,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,3,6,75095,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,4,6,75261,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,5,6,75417,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,6,6,75577,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,7,6,75737,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,8,6,75897,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,9,6,76057,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,10,6,76217,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,1,6,74775,12,tone10,valid,NaN,NaN,NaN,0.0060719046010774,663,-0.0368898965344824,1,0
C57Bl/6J,wt,146,female,2,6,74935,12,tone10,valid,NaN,0.267456258514591,750,0.267456258514591,750,0.267116153429074,1,1
C57Bl/6J,wt,146,female,3,6,75095,12,tone10,valid,NaN,0.345552121732597,732,0.345552121732597,732,0.301764901205251,1,1
C57Bl/6J,wt,146,female,4,6,75261,12,tone10,valid,NaN,0.209566542356359,864,0.209566542356359,864,0.171366370307257,1,1
C57Bl/6J,wt,146,female,5,6,75417,12,tone10,valid,NaN,0.331215437113112,729,0.331215437113112,729,0.309461429564407,1,1
C57Bl/6J,wt,146,female,6,6,75577,12,tone10,invalid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,7,6,75737,12,tone10,valid,NaN,0.319173155733034,834,0.319173155733034,834,0.295839374713111,1,1
C57Bl/6J,wt,146,female,8,6,75897,12,tone10,valid,NaN,0.66910837578611,792,0.66910837578611,792,0.602213597733852,1,1
C57Bl/6J,wt,146,female,9,6,76057,12,tone10,valid,NaN,0.50193037195573,804,0.50193037195573,804,0.402003287587691,1,1
C57Bl/6J,wt,146,female,10,6,76217,12,tone10,valid,NaN,0.712425246587086,936,0.712425246587086,936,0.44994247288437,1,1
C57Bl/6J,wt,146,female,1,7,74778,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,2,7,74938,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,3,7,75098,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
